"Step","glorious-sweep-10 - l2_loss_track","glorious-sweep-10 - l2_loss_track__MIN","glorious-sweep-10 - l2_loss_track__MAX","denim-sweep-9 - l2_loss_track","denim-sweep-9 - l2_loss_track__MIN","denim-sweep-9 - l2_loss_track__MAX","jumping-sweep-8 - l2_loss_track","jumping-sweep-8 - l2_loss_track__MIN","jumping-sweep-8 - l2_loss_track__MAX","peachy-sweep-7 - l2_loss_track","peachy-sweep-7 - l2_loss_track__MIN","peachy-sweep-7 - l2_loss_track__MAX","laced-sweep-6 - l2_loss_track","laced-sweep-6 - l2_loss_track__MIN","laced-sweep-6 - l2_loss_track__MAX","snowy-sweep-5 - l2_loss_track","snowy-sweep-5 - l2_loss_track__MIN","snowy-sweep-5 - l2_loss_track__MAX","stoic-sweep-4 - l2_loss_track","stoic-sweep-4 - l2_loss_track__MIN","stoic-sweep-4 - l2_loss_track__MAX","whole-sweep-3 - l2_loss_track","whole-sweep-3 - l2_loss_track__MIN","whole-sweep-3 - l2_loss_track__MAX","fancy-sweep-2 - l2_loss_track","fancy-sweep-2 - l2_loss_track__MIN","fancy-sweep-2 - l2_loss_track__MAX","copper-sweep-1 - l2_loss_track","copper-sweep-1 - l2_loss_track__MIN","copper-sweep-1 - l2_loss_track__MAX"
"1","0.62690269947052","0.62690269947052","0.62690269947052","0.6286992430686951","0.6286992430686951","0.6286992430686951","0.6231005787849426","0.6231005787849426","0.6231005787849426","0.63228839635849","0.63228839635849","0.63228839635849","0.6318591237068176","0.6318591237068176","0.6318591237068176","0.62797611951828","0.62797611951828","0.62797611951828","0.6202132701873779","0.6202132701873779","0.6202132701873779","0.6237216591835022","0.6237216591835022","0.6237216591835022","0.627275288105011","0.627275288105011","0.627275288105011","0.6282341480255127","0.6282341480255127","0.6282341480255127"
"108","0.5070815682411194","0.5070815682411194","0.5070815682411194","0.47424840927124023","0.47424840927124023","0.47424840927124023","0.4867193400859833","0.4867193400859833","0.4867193400859833","0.47126635909080505","0.47126635909080505","0.47126635909080505","0.5502341985702515","0.5502341985702515","0.5502341985702515","0.5350170135498047","0.5350170135498047","0.5350170135498047","0.48512017726898193","0.48512017726898193","0.48512017726898193","0.4789779484272003","0.4789779484272003","0.4789779484272003","0.4458496570587158","0.4458496570587158","0.4458496570587158","0.4627033472061157","0.4627033472061157","0.4627033472061157"
"215","0.3662504553794861","0.3662504553794861","0.3662504553794861","0.3841184675693512","0.3841184675693512","0.3841184675693512","0.33121564984321594","0.33121564984321594","0.33121564984321594","0.3367517292499542","0.3367517292499542","0.3367517292499542","0.4108627140522003","0.4108627140522003","0.4108627140522003","0.35841280221939087","0.35841280221939087","0.35841280221939087","0.33063921332359314","0.33063921332359314","0.33063921332359314","0.4032619297504425","0.4032619297504425","0.4032619297504425","0.31767717003822327","0.31767717003822327","0.31767717003822327","0.3473345935344696","0.3473345935344696","0.3473345935344696"
"322","0.26206323504447937","0.26206323504447937","0.26206323504447937","0.2949967682361603","0.2949967682361603","0.2949967682361603","0.23406973481178284","0.23406973481178284","0.23406973481178284","0.21162565052509308","0.21162565052509308","0.21162565052509308","0.3154330849647522","0.3154330849647522","0.3154330849647522","0.26539844274520874","0.26539844274520874","0.26539844274520874","0.24060729146003723","0.24060729146003723","0.24060729146003723","0.3344404697418213","0.3344404697418213","0.3344404697418213","0.2308063507080078","0.2308063507080078","0.2308063507080078","0.23065446317195892","0.23065446317195892","0.23065446317195892"
"429","0.1745416522026062","0.1745416522026062","0.1745416522026062","0.2181708812713623","0.2181708812713623","0.2181708812713623","0.1897227168083191","0.1897227168083191","0.1897227168083191","0.17013509571552277","0.17013509571552277","0.17013509571552277","0.20324097573757172","0.20324097573757172","0.20324097573757172","0.19223277270793915","0.19223277270793915","0.19223277270793915","0.18831446766853333","0.18831446766853333","0.18831446766853333","0.2224699854850769","0.2224699854850769","0.2224699854850769","0.1863749921321869","0.1863749921321869","0.1863749921321869","0.17176395654678345","0.17176395654678345","0.17176395654678345"
"536","0.14691783487796783","0.14691783487796783","0.14691783487796783","0.1730053871870041","0.1730053871870041","0.1730053871870041","0.14160947501659393","0.14160947501659393","0.14160947501659393","0.13284821808338165","0.13284821808338165","0.13284821808338165","0.16230691969394684","0.16230691969394684","0.16230691969394684","0.14307238161563873","0.14307238161563873","0.14307238161563873","0.1414739191532135","0.1414739191532135","0.1414739191532135","0.14570119976997375","0.14570119976997375","0.14570119976997375","0.15090017020702362","0.15090017020702362","0.15090017020702362","0.13777263462543488","0.13777263462543488","0.13777263462543488"
"643","0.13026441633701324","0.13026441633701324","0.13026441633701324","0.1287083625793457","0.1287083625793457","0.1287083625793457","0.11640259623527527","0.11640259623527527","0.11640259623527527","0.09830664098262787","0.09830664098262787","0.09830664098262787","0.13005787134170532","0.13005787134170532","0.13005787134170532","0.12135621905326843","0.12135621905326843","0.12135621905326843","0.1085885614156723","0.1085885614156723","0.1085885614156723","0.12033562362194061","0.12033562362194061","0.12033562362194061","0.12237842381000519","0.12237842381000519","0.12237842381000519","0.11396867036819458","0.11396867036819458","0.11396867036819458"
"750","0.10084375739097595","0.10084375739097595","0.10084375739097595","0.10282084345817566","0.10282084345817566","0.10282084345817566","0.08979719877243042","0.08979719877243042","0.08979719877243042","0.0850396454334259","0.0850396454334259","0.0850396454334259","0.10601672530174255","0.10601672530174255","0.10601672530174255","0.10087820887565613","0.10087820887565613","0.10087820887565613","0.09069082140922546","0.09069082140922546","0.09069082140922546","0.10311150550842285","0.10311150550842285","0.10311150550842285","0.1008090227842331","0.1008090227842331","0.1008090227842331","0.09083302319049835","0.09083302319049835","0.09083302319049835"
"857","0.09003353118896484","0.09003353118896484","0.09003353118896484","0.08668847382068634","0.08668847382068634","0.08668847382068634","0.07852475345134735","0.07852475345134735","0.07852475345134735","0.07188576459884644","0.07188576459884644","0.07188576459884644","0.08677779138088226","0.08677779138088226","0.08677779138088226","0.08693142235279083","0.08693142235279083","0.08693142235279083","0.08487601578235626","0.08487601578235626","0.08487601578235626","0.09548234939575195","0.09548234939575195","0.09548234939575195","0.08934596180915833","0.08934596180915833","0.08934596180915833","0.07597135007381439","0.07597135007381439","0.07597135007381439"
"964","0.07729895412921906","0.07729895412921906","0.07729895412921906","0.08110953867435455","0.08110953867435455","0.08110953867435455","0.07226698845624924","0.07226698845624924","0.07226698845624924","0.06309504806995392","0.06309504806995392","0.06309504806995392","0.07559412717819214","0.07559412717819214","0.07559412717819214","0.0743645429611206","0.0743645429611206","0.0743645429611206","0.07400861382484436","0.07400861382484436","0.07400861382484436","0.08028951287269592","0.08028951287269592","0.08028951287269592","0.07891248166561127","0.07891248166561127","0.07891248166561127","0.0606260672211647","0.0606260672211647","0.0606260672211647"
"1071","0.06878510862588882","0.06878510862588882","0.06878510862588882","0.06289155036211014","0.06289155036211014","0.06289155036211014","0.06474610418081284","0.06474610418081284","0.06474610418081284","0.05235354229807854","0.05235354229807854","0.05235354229807854","0.06343183666467667","0.06343183666467667","0.06343183666467667","0.06563830375671387","0.06563830375671387","0.06563830375671387","0.06586508452892303","0.06586508452892303","0.06586508452892303","0.06618282198905945","0.06618282198905945","0.06618282198905945","0.06510543823242188","0.06510543823242188","0.06510543823242188","0.055389441549777985","0.055389441549777985","0.055389441549777985"
