"Step","fanciful-sweep-30 - l2_loss_track","fanciful-sweep-30 - l2_loss_track__MIN","fanciful-sweep-30 - l2_loss_track__MAX","cerulean-sweep-29 - l2_loss_track","cerulean-sweep-29 - l2_loss_track__MIN","cerulean-sweep-29 - l2_loss_track__MAX","graceful-sweep-28 - l2_loss_track","graceful-sweep-28 - l2_loss_track__MIN","graceful-sweep-28 - l2_loss_track__MAX","lunar-sweep-27 - l2_loss_track","lunar-sweep-27 - l2_loss_track__MIN","lunar-sweep-27 - l2_loss_track__MAX","solar-sweep-26 - l2_loss_track","solar-sweep-26 - l2_loss_track__MIN","solar-sweep-26 - l2_loss_track__MAX","fluent-sweep-25 - l2_loss_track","fluent-sweep-25 - l2_loss_track__MIN","fluent-sweep-25 - l2_loss_track__MAX","misunderstood-sweep-24 - l2_loss_track","misunderstood-sweep-24 - l2_loss_track__MIN","misunderstood-sweep-24 - l2_loss_track__MAX","exalted-sweep-23 - l2_loss_track","exalted-sweep-23 - l2_loss_track__MIN","exalted-sweep-23 - l2_loss_track__MAX","winter-sweep-22 - l2_loss_track","winter-sweep-22 - l2_loss_track__MIN","winter-sweep-22 - l2_loss_track__MAX","atomic-sweep-21 - l2_loss_track","atomic-sweep-21 - l2_loss_track__MIN","atomic-sweep-21 - l2_loss_track__MAX","earthy-sweep-20 - l2_loss_track","earthy-sweep-20 - l2_loss_track__MIN","earthy-sweep-20 - l2_loss_track__MAX","lyric-sweep-19 - l2_loss_track","lyric-sweep-19 - l2_loss_track__MIN","lyric-sweep-19 - l2_loss_track__MAX","whole-sweep-18 - l2_loss_track","whole-sweep-18 - l2_loss_track__MIN","whole-sweep-18 - l2_loss_track__MAX","grateful-sweep-17 - l2_loss_track","grateful-sweep-17 - l2_loss_track__MIN","grateful-sweep-17 - l2_loss_track__MAX","young-sweep-16 - l2_loss_track","young-sweep-16 - l2_loss_track__MIN","young-sweep-16 - l2_loss_track__MAX","ethereal-sweep-15 - l2_loss_track","ethereal-sweep-15 - l2_loss_track__MIN","ethereal-sweep-15 - l2_loss_track__MAX","rosy-sweep-14 - l2_loss_track","rosy-sweep-14 - l2_loss_track__MIN","rosy-sweep-14 - l2_loss_track__MAX","rare-sweep-13 - l2_loss_track","rare-sweep-13 - l2_loss_track__MIN","rare-sweep-13 - l2_loss_track__MAX","desert-sweep-12 - l2_loss_track","desert-sweep-12 - l2_loss_track__MIN","desert-sweep-12 - l2_loss_track__MAX","expert-sweep-11 - l2_loss_track","expert-sweep-11 - l2_loss_track__MIN","expert-sweep-11 - l2_loss_track__MAX","trim-sweep-10 - l2_loss_track","trim-sweep-10 - l2_loss_track__MIN","trim-sweep-10 - l2_loss_track__MAX","efficient-sweep-9 - l2_loss_track","efficient-sweep-9 - l2_loss_track__MIN","efficient-sweep-9 - l2_loss_track__MAX","vague-sweep-8 - l2_loss_track","vague-sweep-8 - l2_loss_track__MIN","vague-sweep-8 - l2_loss_track__MAX","charmed-sweep-7 - l2_loss_track","charmed-sweep-7 - l2_loss_track__MIN","charmed-sweep-7 - l2_loss_track__MAX","dauntless-sweep-6 - l2_loss_track","dauntless-sweep-6 - l2_loss_track__MIN","dauntless-sweep-6 - l2_loss_track__MAX","morning-sweep-5 - l2_loss_track","morning-sweep-5 - l2_loss_track__MIN","morning-sweep-5 - l2_loss_track__MAX","grateful-sweep-4 - l2_loss_track","grateful-sweep-4 - l2_loss_track__MIN","grateful-sweep-4 - l2_loss_track__MAX","rich-sweep-3 - l2_loss_track","rich-sweep-3 - l2_loss_track__MIN","rich-sweep-3 - l2_loss_track__MAX","dutiful-sweep-2 - l2_loss_track","dutiful-sweep-2 - l2_loss_track__MIN","dutiful-sweep-2 - l2_loss_track__MAX","whole-sweep-1 - l2_loss_track","whole-sweep-1 - l2_loss_track__MIN","whole-sweep-1 - l2_loss_track__MAX"
"1","0.62690269947052","0.62690269947052","0.62690269947052","0.6286992430686951","0.6286992430686951","0.6286992430686951","0.6231005787849426","0.6231005787849426","0.6231005787849426","0.63228839635849","0.63228839635849","0.63228839635849","0.6318591237068176","0.6318591237068176","0.6318591237068176","0.62797611951828","0.62797611951828","0.62797611951828","0.6202132701873779","0.6202132701873779","0.6202132701873779","0.6237216591835022","0.6237216591835022","0.6237216591835022","0.627275288105011","0.627275288105011","0.627275288105011","0.6282341480255127","0.6282341480255127","0.6282341480255127","0.62690269947052","0.62690269947052","0.62690269947052","0.6286992430686951","0.6286992430686951","0.6286992430686951","0.6231005787849426","0.6231005787849426","0.6231005787849426","0.63228839635849","0.63228839635849","0.63228839635849","0.6318591237068176","0.6318591237068176","0.6318591237068176","0.62797611951828","0.62797611951828","0.62797611951828","0.6202132701873779","0.6202132701873779","0.6202132701873779","0.6237216591835022","0.6237216591835022","0.6237216591835022","0.627275288105011","0.627275288105011","0.627275288105011","0.6282341480255127","0.6282341480255127","0.6282341480255127","0.62690269947052","0.62690269947052","0.62690269947052","0.6286992430686951","0.6286992430686951","0.6286992430686951","0.6231005787849426","0.6231005787849426","0.6231005787849426","0.63228839635849","0.63228839635849","0.63228839635849","0.6318591237068176","0.6318591237068176","0.6318591237068176","0.62797611951828","0.62797611951828","0.62797611951828","0.6202132701873779","0.6202132701873779","0.6202132701873779","0.6237216591835022","0.6237216591835022","0.6237216591835022","0.627275288105011","0.627275288105011","0.627275288105011","0.6282341480255127","0.6282341480255127","0.6282341480255127"
"4","0.4738365113735199","0.4738365113735199","0.4738365113735199","0.4763805568218231","0.4763805568218231","0.4763805568218231","0.4728412926197052","0.4728412926197052","0.4728412926197052","0.4735746383666992","0.4735746383666992","0.4735746383666992","0.4729817509651184","0.4729817509651184","0.4729817509651184","0.4766028821468353","0.4766028821468353","0.4766028821468353","0.47558149695396423","0.47558149695396423","0.47558149695396423","0.47837817668914795","0.47837817668914795","0.47837817668914795","0.47152212262153625","0.47152212262153625","0.47152212262153625","0.4853331446647644","0.4853331446647644","0.4853331446647644","0.5612128973007202","0.5612128973007202","0.5612128973007202","0.5716497898101807","0.5716497898101807","0.5716497898101807","0.5742605328559875","0.5742605328559875","0.5742605328559875","0.562540590763092","0.562540590763092","0.562540590763092","0.5664834380149841","0.5664834380149841","0.5664834380149841","0.5701372027397156","0.5701372027397156","0.5701372027397156","0.5619462728500366","0.5619462728500366","0.5619462728500366","0.5702950358390808","0.5702950358390808","0.5702950358390808","0.5706629753112793","0.5706629753112793","0.5706629753112793","0.5563207268714905","0.5563207268714905","0.5563207268714905","0.5416894555091858","0.5416894555091858","0.5416894555091858","0.6115829348564148","0.6115829348564148","0.6115829348564148","0.5941092371940613","0.5941092371940613","0.5941092371940613","0.6195563673973083","0.6195563673973083","0.6195563673973083","0.6234510540962219","0.6234510540962219","0.6234510540962219","0.588611900806427","0.588611900806427","0.588611900806427","0.576294481754303","0.576294481754303","0.576294481754303","0.5885497331619263","0.5885497331619263","0.5885497331619263","0.5727128386497498","0.5727128386497498","0.5727128386497498","0.5718061327934265","0.5718061327934265","0.5718061327934265"
"7","0.39230403304100037","0.39230403304100037","0.39230403304100037","0.3906165063381195","0.3906165063381195","0.3906165063381195","0.3866107165813446","0.3866107165813446","0.3866107165813446","0.3942650258541107","0.3942650258541107","0.3942650258541107","0.3879554867744446","0.3879554867744446","0.3879554867744446","0.3891100287437439","0.3891100287437439","0.3891100287437439","0.38821423053741455","0.38821423053741455","0.38821423053741455","0.384046345949173","0.384046345949173","0.384046345949173","0.3903147876262665","0.3903147876262665","0.3903147876262665","0.39972400665283203","0.39972400665283203","0.39972400665283203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5390161275863647","0.5390161275863647","0.5390161275863647","0.5544475317001343","0.5544475317001343","0.5544475317001343","0.5484612584114075","0.5484612584114075","0.5484612584114075","0.5368049144744873","0.5368049144744873","0.5368049144744873","0.5465216040611267","0.5465216040611267","0.5465216040611267","0.5421016216278076","0.5421016216278076","0.5421016216278076","0.5482802391052246","0.5482802391052246","0.5482802391052246","0.5361340641975403","0.5361340641975403","0.5361340641975403","0.5410168170928955","0.5410168170928955","0.5410168170928955","0.5484147667884827","0.5484147667884827","0.5484147667884827","0.49944719672203064","0.49944719672203064","0.49944719672203064","0.5977944135665894","0.5977944135665894","0.5977944135665894","0.48179930448532104","0.48179930448532104","0.48179930448532104","0.5600025653839111","0.5600025653839111","0.5600025653839111","0.6236479878425598","0.6236479878425598","0.6236479878425598","0.5196196436882019","0.5196196436882019","0.5196196436882019","0.5016205310821533","0.5016205310821533","0.5016205310821533","0.5408453941345215","0.5408453941345215","0.5408453941345215","0.5014156103134155","0.5014156103134155","0.5014156103134155","0.5216583013534546","0.5216583013534546","0.5216583013534546"
"10","0.36996355652809143","0.36996355652809143","0.36996355652809143","0.3729575574398041","0.3729575574398041","0.3729575574398041","0.37031620740890503","0.37031620740890503","0.37031620740890503","0.3826272785663605","0.3826272785663605","0.3826272785663605","0.37435632944107056","0.37435632944107056","0.37435632944107056","0.37423691153526306","0.37423691153526306","0.37423691153526306","0.37499842047691345","0.37499842047691345","0.37499842047691345","0.3795439898967743","0.3795439898967743","0.3795439898967743","0.37001869082450867","0.37001869082450867","0.37001869082450867","0.37741735577583313","0.37741735577583313","0.37741735577583313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4930271804332733","0.4930271804332733","0.4930271804332733","0.5005952715873718","0.5005952715873718","0.5005952715873718","0.49833548069000244","0.49833548069000244","0.49833548069000244","0.504364550113678","0.504364550113678","0.504364550113678","0.494452565908432","0.494452565908432","0.494452565908432","0.49015992879867554","0.49015992879867554","0.49015992879867554","0.4908229410648346","0.4908229410648346","0.4908229410648346","0.5030343532562256","0.5030343532562256","0.5030343532562256","0.4967321753501892","0.4967321753501892","0.4967321753501892","0.498584121465683","0.498584121465683","0.498584121465683","0.4357414245605469","0.4357414245605469","0.4357414245605469","0.5652689337730408","0.5652689337730408","0.5652689337730408","0.40810003876686096","0.40810003876686096","0.40810003876686096","0.5462273359298706","0.5462273359298706","0.5462273359298706","0.6149904727935791","0.6149904727935791","0.6149904727935791","0.4865338206291199","0.4865338206291199","0.4865338206291199","0.44189876317977905","0.44189876317977905","0.44189876317977905","0.5549713373184204","0.5549713373184204","0.5549713373184204","0.4972311854362488","0.4972311854362488","0.4972311854362488","0.5014821887016296","0.5014821887016296","0.5014821887016296"
"13","0.34752991795539856","0.34752991795539856","0.34752991795539856","0.34631118178367615","0.34631118178367615","0.34631118178367615","0.3512975871562958","0.3512975871562958","0.3512975871562958","0.34206169843673706","0.34206169843673706","0.34206169843673706","0.34278544783592224","0.34278544783592224","0.34278544783592224","0.3495529592037201","0.3495529592037201","0.3495529592037201","0.35059547424316406","0.35059547424316406","0.35059547424316406","0.34491798281669617","0.34491798281669617","0.34491798281669617","0.3502679765224457","0.3502679765224457","0.3502679765224457","0.3524782359600067","0.3524782359600067","0.3524782359600067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","0.23718732595443726","0.23718732595443726","0.23718732595443726","0.2352612465620041","0.2352612465620041","0.2352612465620041","0.2358117401599884","0.2358117401599884","0.2358117401599884","0.23171982169151306","0.23171982169151306","0.23171982169151306","0.23516391217708588","0.23516391217708588","0.23516391217708588","0.23447711765766144","0.23447711765766144","0.23447711765766144","0.2325783222913742","0.2325783222913742","0.2325783222913742","0.23255443572998047","0.23255443572998047","0.23255443572998047","0.22996291518211365","0.22996291518211365","0.22996291518211365","0.23510396480560303","0.23510396480560303","0.23510396480560303","0.426411896944046","0.426411896944046","0.426411896944046","0.42729759216308594","0.42729759216308594","0.42729759216308594","0.43979188799858093","0.43979188799858093","0.43979188799858093","0.4366961121559143","0.4366961121559143","0.4366961121559143","0.43365684151649475","0.43365684151649475","0.43365684151649475","0.43427327275276184","0.43427327275276184","0.43427327275276184","0.4287862479686737","0.4287862479686737","0.4287862479686737","0.44093969464302063","0.44093969464302063","0.44093969464302063","0.43956872820854187","0.43956872820854187","0.43956872820854187","0.42792871594429016","0.42792871594429016","0.42792871594429016","0.43047162890434265","0.43047162890434265","0.43047162890434265","0.5473107695579529","0.5473107695579529","0.5473107695579529","0.3799629509449005","0.3799629509449005","0.3799629509449005","0.49452394247055054","0.49452394247055054","0.49452394247055054","0.5699849724769592","0.5699849724769592","0.5699849724769592","0.4526410400867462","0.4526410400867462","0.4526410400867462","0.4041920602321625","0.4041920602321625","0.4041920602321625","0.46765202283859253","0.46765202283859253","0.46765202283859253","0.47632554173469543","0.47632554173469543","0.47632554173469543","0.4877430498600006","0.4877430498600006","0.4877430498600006"
"19","0.16192841529846191","0.16192841529846191","0.16192841529846191","0.16195105016231537","0.16195105016231537","0.16195105016231537","0.16390125453472137","0.16390125453472137","0.16390125453472137","0.15993104875087738","0.15993104875087738","0.15993104875087738","0.1606857180595398","0.1606857180595398","0.1606857180595398","0.1648874431848526","0.1648874431848526","0.1648874431848526","0.16247844696044922","0.16247844696044922","0.16247844696044922","0.15987345576286316","0.15987345576286316","0.15987345576286316","0.1614776998758316","0.1614776998758316","0.1614776998758316","0.16252875328063965","0.16252875328063965","0.16252875328063965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3953526020050049","0.3953526020050049","0.3953526020050049","0.38795796036720276","0.38795796036720276","0.38795796036720276","0.3914516568183899","0.3914516568183899","0.3914516568183899","0.3930438160896301","0.3930438160896301","0.3930438160896301","0.3937149941921234","0.3937149941921234","0.3937149941921234","0.37771403789520264","0.37771403789520264","0.37771403789520264","0.38755273818969727","0.38755273818969727","0.38755273818969727","0.3899162709712982","0.3899162709712982","0.3899162709712982","0.38498660922050476","0.38498660922050476","0.38498660922050476","0.3878905773162842","0.3878905773162842","0.3878905773162842","0.39622655510902405","0.39622655510902405","0.39622655510902405","0.5241072177886963","0.5241072177886963","0.5241072177886963","0.3537788689136505","0.3537788689136505","0.3537788689136505","0.44680386781692505","0.44680386781692505","0.44680386781692505","0.44015875458717346","0.44015875458717346","0.44015875458717346","0.43337875604629517","0.43337875604629517","0.43337875604629517","0.402193158864975","0.402193158864975","0.402193158864975","0.45040419697761536","0.45040419697761536","0.45040419697761536","0.4307028651237488","0.4307028651237488","0.4307028651237488","0.48387426137924194","0.48387426137924194","0.48387426137924194"
