"Step","glorious-sweep-10 - var_square_loss_track","glorious-sweep-10 - var_square_loss_track__MIN","glorious-sweep-10 - var_square_loss_track__MAX","denim-sweep-9 - var_square_loss_track","denim-sweep-9 - var_square_loss_track__MIN","denim-sweep-9 - var_square_loss_track__MAX","jumping-sweep-8 - var_square_loss_track","jumping-sweep-8 - var_square_loss_track__MIN","jumping-sweep-8 - var_square_loss_track__MAX","peachy-sweep-7 - var_square_loss_track","peachy-sweep-7 - var_square_loss_track__MIN","peachy-sweep-7 - var_square_loss_track__MAX","laced-sweep-6 - var_square_loss_track","laced-sweep-6 - var_square_loss_track__MIN","laced-sweep-6 - var_square_loss_track__MAX","snowy-sweep-5 - var_square_loss_track","snowy-sweep-5 - var_square_loss_track__MIN","snowy-sweep-5 - var_square_loss_track__MAX","stoic-sweep-4 - var_square_loss_track","stoic-sweep-4 - var_square_loss_track__MIN","stoic-sweep-4 - var_square_loss_track__MAX","whole-sweep-3 - var_square_loss_track","whole-sweep-3 - var_square_loss_track__MIN","whole-sweep-3 - var_square_loss_track__MAX","fancy-sweep-2 - var_square_loss_track","fancy-sweep-2 - var_square_loss_track__MIN","fancy-sweep-2 - var_square_loss_track__MAX","copper-sweep-1 - var_square_loss_track","copper-sweep-1 - var_square_loss_track__MIN","copper-sweep-1 - var_square_loss_track__MAX"
"1","0.03626729175448418","0.03626729175448418","0.03626729175448418","0.038416702300310135","0.038416702300310135","0.038416702300310135","0.03793390467762947","0.03793390467762947","0.03793390467762947","0.041317373514175415","0.041317373514175415","0.041317373514175415","0.04461631178855896","0.04461631178855896","0.04461631178855896","0.039310429245233536","0.039310429245233536","0.039310429245233536","0.0369819700717926","0.0369819700717926","0.0369819700717926","0.037805601954460144","0.037805601954460144","0.037805601954460144","0.03696875274181366","0.03696875274181366","0.03696875274181366","0.03612441197037697","0.03612441197037697","0.03612441197037697"
"108","0.02696744166314602","0.02696744166314602","0.02696744166314602","0.02300000563263893","0.02300000563263893","0.02300000563263893","0.025871790945529938","0.025871790945529938","0.025871790945529938","0.02340080961585045","0.02340080961585045","0.02340080961585045","0.03054238297045231","0.03054238297045231","0.03054238297045231","0.03257787600159645","0.03257787600159645","0.03257787600159645","0.02399352937936783","0.02399352937936783","0.02399352937936783","0.02339399792253971","0.02339399792253971","0.02339399792253971","0.02110435999929905","0.02110435999929905","0.02110435999929905","0.024192435666918755","0.024192435666918755","0.024192435666918755"
"215","0.015159422531723976","0.015159422531723976","0.015159422531723976","0.01665072701871395","0.01665072701871395","0.01665072701871395","0.012024354189634323","0.012024354189634323","0.012024354189634323","0.014161345548927784","0.014161345548927784","0.014161345548927784","0.018382597714662552","0.018382597714662552","0.018382597714662552","0.015089689753949642","0.015089689753949642","0.015089689753949642","0.011067022569477558","0.011067022569477558","0.011067022569477558","0.017006393522024155","0.017006393522024155","0.017006393522024155","0.010010733269155025","0.010010733269155025","0.010010733269155025","0.01288237702101469","0.01288237702101469","0.01288237702101469"
"322","0.006909528281539679","0.006909528281539679","0.006909528281539679","0.00894962064921856","0.00894962064921856","0.00894962064921856","0.005208316724747419","0.005208316724747419","0.005208316724747419","0.003910920117050409","0.003910920117050409","0.003910920117050409","0.00982281006872654","0.00982281006872654","0.00982281006872654","0.007466838229447603","0.007466838229447603","0.007466838229447603","0.0055287498980760574","0.0055287498980760574","0.0055287498980760574","0.01358900684863329","0.01358900684863329","0.01358900684863329","0.005329417996108532","0.005329417996108532","0.005329417996108532","0.005784088280051947","0.005784088280051947","0.005784088280051947"
"429","0.0024841884151101112","0.0024841884151101112","0.0024841884151101112","0.005476178601384163","0.005476178601384163","0.005476178601384163","0.0036321645602583885","0.0036321645602583885","0.0036321645602583885","0.002902981825172901","0.002902981825172901","0.002902981825172901","0.0033680095802992582","0.0033680095802992582","0.0033680095802992582","0.0030927439220249653","0.0030927439220249653","0.0030927439220249653","0.0032424333039671183","0.0032424333039671183","0.0032424333039671183","0.00480243843048811","0.00480243843048811","0.00480243843048811","0.002828027121722698","0.002828027121722698","0.002828027121722698","0.002385800937190652","0.002385800937190652","0.002385800937190652"
"536","0.0015128186205402017","0.0015128186205402017","0.0015128186205402017","0.0037393360398709774","0.0037393360398709774","0.0037393360398709774","0.0016580203082412481","0.0016580203082412481","0.0016580203082412481","0.0015023481100797653","0.0015023481100797653","0.0015023481100797653","0.0021558059379458427","0.0021558059379458427","0.0021558059379458427","0.0015763960545882583","0.0015763960545882583","0.0015763960545882583","0.0016252854838967323","0.0016252854838967323","0.0016252854838967323","0.0016697976971045136","0.0016697976971045136","0.0016697976971045136","0.0017550402553752065","0.0017550402553752065","0.0017550402553752065","0.001784679712727666","0.001784679712727666","0.001784679712727666"
"643","0.0014431660529226065","0.0014431660529226065","0.0014431660529226065","0.0012601165799424052","0.0012601165799424052","0.0012601165799424052","0.0010069553973153234","0.0010069553973153234","0.0010069553973153234","0.0005632786196656525","0.0005632786196656525","0.0005632786196656525","0.0011918131494894624","0.0011918131494894624","0.0011918131494894624","0.0008823369280435145","0.0008823369280435145","0.0008823369280435145","0.0007021740893833339","0.0007021740893833339","0.0007021740893833339","0.0009756020153872669","0.0009756020153872669","0.0009756020153872669","0.0011278331512585282","0.0011278331512585282","0.0011278331512585282","0.0007712414371781051","0.0007712414371781051","0.0007712414371781051"
"750","0.000583408575039357","0.000583408575039357","0.000583408575039357","0.0008308002143166959","0.0008308002143166959","0.0008308002143166959","0.00045018302625976503","0.00045018302625976503","0.00045018302625976503","0.0004248816694598645","0.0004248816694598645","0.0004248816694598645","0.0007294265669770539","0.0007294265669770539","0.0007294265669770539","0.0005734612350352108","0.0005734612350352108","0.0005734612350352108","0.0004779535811394453","0.0004779535811394453","0.0004779535811394453","0.0006775321089662611","0.0006775321089662611","0.0006775321089662611","0.0006469364161603153","0.0006469364161603153","0.0006469364161603153","0.0005080780829302967","0.0005080780829302967","0.0005080780829302967"
"857","0.0004575031343847513","0.0004575031343847513","0.0004575031343847513","0.0005840825033374131","0.0005840825033374131","0.0005840825033374131","0.00036311784060671926","0.00036311784060671926","0.00036311784060671926","0.00026258217985741794","0.00026258217985741794","0.00026258217985741794","0.0003846469335258007","0.0003846469335258007","0.0003846469335258007","0.0004350224044173956","0.0004350224044173956","0.0004350224044173956","0.00042235548608005047","0.00042235548608005047","0.00042235548608005047","0.000605161942075938","0.000605161942075938","0.000605161942075938","0.00048055732622742653","0.00048055732622742653","0.00048055732622742653","0.0003142626956105232","0.0003142626956105232","0.0003142626956105232"
"964","0.00034411129308864474","0.00034411129308864474","0.00034411129308864474","0.000589915958698839","0.000589915958698839","0.000589915958698839","0.0002978083794005215","0.0002978083794005215","0.0002978083794005215","0.0002205868368037045","0.0002205868368037045","0.0002205868368037045","0.0003064983175136149","0.0003064983175136149","0.0003064983175136149","0.00030361005337908864","0.00030361005337908864","0.00030361005337908864","0.0003239414654672146","0.0003239414654672146","0.0003239414654672146","0.0003773848875425756","0.0003773848875425756","0.0003773848875425756","0.0004206414450891316","0.0004206414450891316","0.0004206414450891316","0.00018020068819168955","0.00018020068819168955","0.00018020068819168955"
