"Step","charmed-sweep-1 - var_square_loss_track","charmed-sweep-1 - var_square_loss_track__MIN","charmed-sweep-1 - var_square_loss_track__MAX","atomic-sweep-1 - var_square_loss_track","atomic-sweep-1 - var_square_loss_track__MIN","atomic-sweep-1 - var_square_loss_track__MAX","neat-sweep-1 - var_square_loss_track","neat-sweep-1 - var_square_loss_track__MIN","neat-sweep-1 - var_square_loss_track__MAX","peach-sweep-1 - var_square_loss_track","peach-sweep-1 - var_square_loss_track__MIN","peach-sweep-1 - var_square_loss_track__MAX","astral-sweep-1 - var_square_loss_track","astral-sweep-1 - var_square_loss_track__MIN","astral-sweep-1 - var_square_loss_track__MAX","copper-sweep-1 - var_square_loss_track","copper-sweep-1 - var_square_loss_track__MIN","copper-sweep-1 - var_square_loss_track__MAX","icy-sweep-1 - var_square_loss_track","icy-sweep-1 - var_square_loss_track__MIN","icy-sweep-1 - var_square_loss_track__MAX","royal-sweep-1 - var_square_loss_track","royal-sweep-1 - var_square_loss_track__MIN","royal-sweep-1 - var_square_loss_track__MAX","effortless-sweep-1 - var_square_loss_track","effortless-sweep-1 - var_square_loss_track__MIN","effortless-sweep-1 - var_square_loss_track__MAX"
"0","0.009458163753151894","0.009458163753151894","0.009458163753151894","0.009684394113719463","0.009586241096258163","0.009782547131180763","0.010074201971292496","0.010074201971292496","0.010074201971292496","0.009367159567773342","0.009367159567773342","0.009367159567773342","0.008999677374958992","0.008999677374958992","0.008999677374958992","0.010446048341691494","0.010446048341691494","0.010446048341691494","0.009231914766132832","0.009231914766132832","0.009231914766132832","0.009081315249204636","0.009081315249204636","0.009081315249204636","0.009814593009650707","0.009814593009650707","0.009814593009650707"
"2","0.00886956974864006","0.00886956974864006","0.00886956974864006","0.009250246919691563","0.009041712619364262","0.009458781220018864","0.008903567679226398","0.008903567679226398","0.008903567679226398","0.009171860292553902","0.009171860292553902","0.009171860292553902","0.0089197913184762","0.0089197913184762","0.0089197913184762","0.008519049733877182","0.008519049733877182","0.008519049733877182","0.00934506580233574","0.00934506580233574","0.00934506580233574","0.008846815675497055","0.008846815675497055","0.008846815675497055","0.009689844213426113","0.009689844213426113","0.009689844213426113"
"4","0.008725760504603386","0.008725760504603386","0.008725760504603386","0.008438087534159422","0.00820261798799038","0.008673557080328465","0.008895935490727425","0.008895935490727425","0.008895935490727425","0.008014802820980549","0.008014802820980549","0.008014802820980549","0.00747655751183629","0.00747655751183629","0.00747655751183629","0.007626555394381285","0.007626555394381285","0.007626555394381285","0.008790924213826656","0.008790924213826656","0.008790924213826656","0.009427584707736969","0.009427584707736969","0.009427584707736969","0.007746462244540453","0.007746462244540453","0.007746462244540453"
"6","0.008447026833891869","0.008447026833891869","0.008447026833891869","0.008040192071348429","0.00770930852741003","0.008371075615286827","0.008376985788345337","0.008376985788345337","0.008376985788345337","0.00838130060583353","0.00838130060583353","0.00838130060583353","0.007539303507655859","0.007539303507655859","0.007539303507655859","0.007143739610910416","0.007143739610910416","0.007143739610910416","0.009248612448573112","0.009248612448573112","0.009248612448573112","0.009511446580290794","0.009511446580290794","0.009511446580290794","0.009018461219966412","0.009018461219966412","0.009018461219966412"
"8","0.008574368432164192","0.008574368432164192","0.008574368432164192","0.007888450054451823","0.0077397809363901615","0.008037119172513485","0.00914810597896576","0.00914810597896576","0.00914810597896576","0.00729338638484478","0.00729338638484478","0.00729338638484478","0.007598643656820059","0.007598643656820059","0.007598643656820059","0.007594500668346882","0.007594500668346882","0.007594500668346882","0.00826030969619751","0.00826030969619751","0.00826030969619751","0.009403803385794163","0.009403803385794163","0.009403803385794163","0.007964247837662697","0.007964247837662697","0.007964247837662697"
"10","0.008114730007946491","0.008114730007946491","0.008114730007946491","0.007912095170468092","0.007168366573750973","0.008655823767185211","0.008407969027757645","0.008407969027757645","0.008407969027757645","0.00837565865367651","0.00837565865367651","0.00837565865367651","0.007442331872880459","0.007442331872880459","0.007442331872880459","0.007963386364281178","0.007963386364281178","0.007963386364281178","0.008368883281946182","0.008368883281946182","0.008368883281946182","0.008471401408314705","0.008471401408314705","0.008471401408314705","0.0073430947959423065","0.0073430947959423065","0.0073430947959423065"
"12","0.007766079623252153","0.007766079623252153","0.007766079623252153","0.007879580371081829","0.0073684267699718475","0.00839073397219181","0.007162640802562237","0.007162640802562237","0.007162640802562237","0.006915103178471327","0.006915103178471327","0.006915103178471327","0.007768802344799042","0.007768802344799042","0.007768802344799042","0.007169064600020647","0.007169064600020647","0.007169064600020647","0.008064929395914078","0.008064929395914078","0.008064929395914078","0.007633422035723925","0.007633422035723925","0.007633422035723925","0.007609697058796883","0.007609697058796883","0.007609697058796883"
"14","0.00682947738096118","0.00682947738096118","0.00682947738096118","0.007354947039857507","0.006937909405678511","0.007771984674036503","0.007717291358858347","0.007717291358858347","0.007717291358858347","0.007906169630587101","0.007906169630587101","0.007906169630587101","0.0068044173531234264","0.0068044173531234264","0.0068044173531234264","0.007183914538472891","0.007183914538472891","0.007183914538472891","0.006968099158257246","0.006968099158257246","0.006968099158257246","0.006907889619469643","0.006907889619469643","0.006907889619469643","0.008089913055300713","0.008089913055300713","0.008089913055300713"
"16","0.007212035823613405","0.007212035823613405","0.007212035823613405","0.007882837671786547","0.0073220375925302505","0.008443637751042843","0.006800708826631308","0.006800708826631308","0.006800708826631308","0.007928954437375069","0.007928954437375069","0.007928954437375069","0.007586255203932524","0.007586255203932524","0.007586255203932524","0.007464910391718149","0.007464910391718149","0.007464910391718149","0.007737575098872185","0.007737575098872185","0.007737575098872185","0.007754296995699406","0.007754296995699406","0.007754296995699406","0.008276894688606262","0.008276894688606262","0.008276894688606262"
"18","0.007022724486887455","0.007022724486887455","0.007022724486887455","0.007699628127738833","0.007657244801521301","0.007742011453956366","0.0071034301072359085","0.0071034301072359085","0.0071034301072359085","0.006713842507451773","0.006713842507451773","0.006713842507451773","0.00629896204918623","0.00629896204918623","0.00629896204918623","0.007356638088822365","0.007356638088822365","0.007356638088822365","0.006548373959958553","0.006548373959958553","0.006548373959958553","0.0068514361046254635","0.0068514361046254635","0.0068514361046254635","0.0073478929698467255","0.0073478929698467255","0.0073478929698467255"
