"Step","atomic-sweep-1 - var_square_loss_track","atomic-sweep-1 - var_square_loss_track__MIN","atomic-sweep-1 - var_square_loss_track__MAX"
"0","0.009586241096258163","0.009586241096258163","0.009586241096258163"
"2","0.009458781220018864","0.009458781220018864","0.009458781220018864"
"4","0.00820261798799038","0.00820261798799038","0.00820261798799038"
"6","0.00770930852741003","0.00770930852741003","0.00770930852741003"
"8","0.0077397809363901615","0.0077397809363901615","0.0077397809363901615"
"10","0.007168366573750973","0.007168366573750973","0.007168366573750973"
"12","0.0073684267699718475","0.0073684267699718475","0.0073684267699718475"
"14","0.006937909405678511","0.006937909405678511","0.006937909405678511"
"16","0.0073220375925302505","0.0073220375925302505","0.0073220375925302505"
"18","0.007657244801521301","0.007657244801521301","0.007657244801521301"
"20","0.006825281772762537","0.006825281772762537","0.006825281772762537"
