"Step","dainty-sweep-1 - l2_loss_track","dainty-sweep-1 - l2_loss_track__MIN","dainty-sweep-1 - l2_loss_track__MAX","restful-sweep-9 - l2_loss_track","restful-sweep-9 - l2_loss_track__MIN","restful-sweep-9 - l2_loss_track__MAX","easy-sweep-8 - l2_loss_track","easy-sweep-8 - l2_loss_track__MIN","easy-sweep-8 - l2_loss_track__MAX","worldly-sweep-7 - l2_loss_track","worldly-sweep-7 - l2_loss_track__MIN","worldly-sweep-7 - l2_loss_track__MAX","neat-sweep-6 - l2_loss_track","neat-sweep-6 - l2_loss_track__MIN","neat-sweep-6 - l2_loss_track__MAX","misunderstood-sweep-5 - l2_loss_track","misunderstood-sweep-5 - l2_loss_track__MIN","misunderstood-sweep-5 - l2_loss_track__MAX","devout-sweep-4 - l2_loss_track","devout-sweep-4 - l2_loss_track__MIN","devout-sweep-4 - l2_loss_track__MAX","whole-sweep-3 - l2_loss_track","whole-sweep-3 - l2_loss_track__MIN","whole-sweep-3 - l2_loss_track__MAX","happy-sweep-2 - l2_loss_track","happy-sweep-2 - l2_loss_track__MIN","happy-sweep-2 - l2_loss_track__MAX","hardy-sweep-1 - l2_loss_track","hardy-sweep-1 - l2_loss_track__MIN","hardy-sweep-1 - l2_loss_track__MAX"
"0","0.92469322681427","0.92469322681427","0.92469322681427","0.9371342062950134","0.9371342062950134","0.9371342062950134","0.9393690228462219","0.9393690228462219","0.9393690228462219","0.9407355189323425","0.9407355189323425","0.9407355189323425","0.9364773035049438","0.9364773035049438","0.9364773035049438","0.9309899210929871","0.9309899210929871","0.9309899210929871","0.934076726436615","0.934076726436615","0.934076726436615","0.9339408278465271","0.9339408278465271","0.9339408278465271","0.9346921443939209","0.9346921443939209","0.9346921443939209","0.9367602467536926","0.9367602467536926","0.9367602467536926"
"1003","0.8976044654846191","0.8976044654846191","0.8976044654846191","0.8954845070838928","0.8954845070838928","0.8954845070838928","0.8921326994895935","0.8921326994895935","0.8921326994895935","0.8820955753326416","0.8820955753326416","0.8820955753326416","0.9231889843940735","0.9231889843940735","0.9231889843940735","0.9024156928062439","0.9024156928062439","0.9024156928062439","0.9027820825576782","0.9027820825576782","0.9027820825576782","0.899487316608429","0.899487316608429","0.899487316608429","0.8868871331214905","0.8868871331214905","0.8868871331214905","0.9110897183418274","0.9110897183418274","0.9110897183418274"
"2006","0.862944483757019","0.862944483757019","0.862944483757019","0.8834158778190613","0.8834158778190613","0.8834158778190613","0.8723590970039368","0.8723590970039368","0.8723590970039368","0.8602266907691956","0.8602266907691956","0.8602266907691956","0.9199485778808594","0.9199485778808594","0.9199485778808594","0.8846256136894226","0.8846256136894226","0.8846256136894226","0.8680070638656616","0.8680070638656616","0.8680070638656616","0.8495528697967529","0.8495528697967529","0.8495528697967529","0.8796120882034302","0.8796120882034302","0.8796120882034302","0.8631241321563721","0.8631241321563721","0.8631241321563721"
"3009","0.8481115698814392","0.8481115698814392","0.8481115698814392","0.8578668832778931","0.8578668832778931","0.8578668832778931","0.8423425555229187","0.8423425555229187","0.8423425555229187","0.839662492275238","0.839662492275238","0.839662492275238","0.8760517239570618","0.8760517239570618","0.8760517239570618","0.8630816340446472","0.8630816340446472","0.8630816340446472","0.8625510334968567","0.8625510334968567","0.8625510334968567","0.833402693271637","0.833402693271637","0.833402693271637","0.8617165088653564","0.8617165088653564","0.8617165088653564","0.8526734113693237","0.8526734113693237","0.8526734113693237"
"4012","0.8309594392776489","0.8309594392776489","0.8309594392776489","0.8404660224914551","0.8404660224914551","0.8404660224914551","0.8373590111732483","0.8373590111732483","0.8373590111732483","0.8304915428161621","0.8304915428161621","0.8304915428161621","0.846008837223053","0.846008837223053","0.846008837223053","0.8344575762748718","0.8344575762748718","0.8344575762748718","0.8430041670799255","0.8430041670799255","0.8430041670799255","0.8167976140975952","0.8167976140975952","0.8167976140975952","0.8549141883850098","0.8549141883850098","0.8549141883850098","0.8460637927055359","0.8460637927055359","0.8460637927055359"
"5015","0.8127574920654297","0.8127574920654297","0.8127574920654297","0.8256031274795532","0.8256031274795532","0.8256031274795532","0.8222084045410156","0.8222084045410156","0.8222084045410156","0.8111456632614136","0.8111456632614136","0.8111456632614136","0.816016435623169","0.816016435623169","0.816016435623169","0.8214721083641052","0.8214721083641052","0.8214721083641052","0.8274139165878296","0.8274139165878296","0.8274139165878296","0.8080798387527466","0.8080798387527466","0.8080798387527466","0.8335304260253906","0.8335304260253906","0.8335304260253906","0.831072986125946","0.831072986125946","0.831072986125946"
"6018","0.8048011064529419","0.8048011064529419","0.8048011064529419","0.8145719170570374","0.8145719170570374","0.8145719170570374","0.8127033114433289","0.8127033114433289","0.8127033114433289","0.7997106313705444","0.7997106313705444","0.7997106313705444","0.8116492033004761","0.8116492033004761","0.8116492033004761","0.8075945973396301","0.8075945973396301","0.8075945973396301","0.8179726004600525","0.8179726004600525","0.8179726004600525","0.7984055876731873","0.7984055876731873","0.7984055876731873","0.8319432735443115","0.8319432735443115","0.8319432735443115","0.7972558736801147","0.7972558736801147","0.7972558736801147"
"7021","0.7975525259971619","0.7975525259971619","0.7975525259971619","0.7952715158462524","0.7952715158462524","0.7952715158462524","0.8009853363037109","0.8009853363037109","0.8009853363037109","0.7953307032585144","0.7953307032585144","0.7953307032585144","0.7998545169830322","0.7998545169830322","0.7998545169830322","0.7991024851799011","0.7991024851799011","0.7991024851799011","0.8077446222305298","0.8077446222305298","0.8077446222305298","0.7874725461006165","0.7874725461006165","0.7874725461006165","0.8220916390419006","0.8220916390419006","0.8220916390419006","0.7935264706611633","0.7935264706611633","0.7935264706611633"
"8024","0.7891877889633179","0.7891877889633179","0.7891877889633179","0.7876427173614502","0.7876427173614502","0.7876427173614502","0.7994979023933411","0.7994979023933411","0.7994979023933411","0.785940408706665","0.785940408706665","0.785940408706665","0.8008427619934082","0.8008427619934082","0.8008427619934082","0.7913264036178589","0.7913264036178589","0.7913264036178589","0.7933715581893921","0.7933715581893921","0.7933715581893921","0.7887018918991089","0.7887018918991089","0.7887018918991089","0.8185728192329407","0.8185728192329407","0.8185728192329407","0.7788265347480774","0.7788265347480774","0.7788265347480774"
"9027","0.7654548287391663","0.7654548287391663","0.7654548287391663","0.7916809916496277","0.7916809916496277","0.7916809916496277","0.802237868309021","0.802237868309021","0.802237868309021","0.7876172661781311","0.7876172661781311","0.7876172661781311","0.7976801991462708","0.7976801991462708","0.7976801991462708","0.7798331379890442","0.7798331379890442","0.7798331379890442","0.7836001515388489","0.7836001515388489","0.7836001515388489","0.7795413732528687","0.7795413732528687","0.7795413732528687","0.8137524724006653","0.8137524724006653","0.8137524724006653","0.7707216739654541","0.7707216739654541","0.7707216739654541"
