"Step","charmed-sweep-30 - var_square_loss_track","charmed-sweep-30 - var_square_loss_track__MIN","charmed-sweep-30 - var_square_loss_track__MAX","hardy-sweep-29 - var_square_loss_track","hardy-sweep-29 - var_square_loss_track__MIN","hardy-sweep-29 - var_square_loss_track__MAX","twilight-sweep-28 - var_square_loss_track","twilight-sweep-28 - var_square_loss_track__MIN","twilight-sweep-28 - var_square_loss_track__MAX","bright-sweep-27 - var_square_loss_track","bright-sweep-27 - var_square_loss_track__MIN","bright-sweep-27 - var_square_loss_track__MAX","quiet-sweep-26 - var_square_loss_track","quiet-sweep-26 - var_square_loss_track__MIN","quiet-sweep-26 - var_square_loss_track__MAX","classic-sweep-25 - var_square_loss_track","classic-sweep-25 - var_square_loss_track__MIN","classic-sweep-25 - var_square_loss_track__MAX","effortless-sweep-24 - var_square_loss_track","effortless-sweep-24 - var_square_loss_track__MIN","effortless-sweep-24 - var_square_loss_track__MAX","vague-sweep-23 - var_square_loss_track","vague-sweep-23 - var_square_loss_track__MIN","vague-sweep-23 - var_square_loss_track__MAX","chocolate-sweep-22 - var_square_loss_track","chocolate-sweep-22 - var_square_loss_track__MIN","chocolate-sweep-22 - var_square_loss_track__MAX","gentle-sweep-21 - var_square_loss_track","gentle-sweep-21 - var_square_loss_track__MIN","gentle-sweep-21 - var_square_loss_track__MAX","neat-sweep-20 - var_square_loss_track","neat-sweep-20 - var_square_loss_track__MIN","neat-sweep-20 - var_square_loss_track__MAX","pious-sweep-19 - var_square_loss_track","pious-sweep-19 - var_square_loss_track__MIN","pious-sweep-19 - var_square_loss_track__MAX","rose-sweep-18 - var_square_loss_track","rose-sweep-18 - var_square_loss_track__MIN","rose-sweep-18 - var_square_loss_track__MAX","vocal-sweep-17 - var_square_loss_track","vocal-sweep-17 - var_square_loss_track__MIN","vocal-sweep-17 - var_square_loss_track__MAX","fluent-sweep-16 - var_square_loss_track","fluent-sweep-16 - var_square_loss_track__MIN","fluent-sweep-16 - var_square_loss_track__MAX","magic-sweep-15 - var_square_loss_track","magic-sweep-15 - var_square_loss_track__MIN","magic-sweep-15 - var_square_loss_track__MAX","treasured-sweep-14 - var_square_loss_track","treasured-sweep-14 - var_square_loss_track__MIN","treasured-sweep-14 - var_square_loss_track__MAX","wobbly-sweep-13 - var_square_loss_track","wobbly-sweep-13 - var_square_loss_track__MIN","wobbly-sweep-13 - var_square_loss_track__MAX","vague-sweep-12 - var_square_loss_track","vague-sweep-12 - var_square_loss_track__MIN","vague-sweep-12 - var_square_loss_track__MAX","deft-sweep-11 - var_square_loss_track","deft-sweep-11 - var_square_loss_track__MIN","deft-sweep-11 - var_square_loss_track__MAX","frosty-sweep-10 - var_square_loss_track","frosty-sweep-10 - var_square_loss_track__MIN","frosty-sweep-10 - var_square_loss_track__MAX","vague-sweep-9 - var_square_loss_track","vague-sweep-9 - var_square_loss_track__MIN","vague-sweep-9 - var_square_loss_track__MAX","lyric-sweep-8 - var_square_loss_track","lyric-sweep-8 - var_square_loss_track__MIN","lyric-sweep-8 - var_square_loss_track__MAX","brisk-sweep-7 - var_square_loss_track","brisk-sweep-7 - var_square_loss_track__MIN","brisk-sweep-7 - var_square_loss_track__MAX","hopeful-sweep-6 - var_square_loss_track","hopeful-sweep-6 - var_square_loss_track__MIN","hopeful-sweep-6 - var_square_loss_track__MAX","pretty-sweep-5 - var_square_loss_track","pretty-sweep-5 - var_square_loss_track__MIN","pretty-sweep-5 - var_square_loss_track__MAX","giddy-sweep-4 - var_square_loss_track","giddy-sweep-4 - var_square_loss_track__MIN","giddy-sweep-4 - var_square_loss_track__MAX","vocal-sweep-3 - var_square_loss_track","vocal-sweep-3 - var_square_loss_track__MIN","vocal-sweep-3 - var_square_loss_track__MAX","iconic-sweep-2 - var_square_loss_track","iconic-sweep-2 - var_square_loss_track__MIN","iconic-sweep-2 - var_square_loss_track__MAX","pious-sweep-1 - var_square_loss_track","pious-sweep-1 - var_square_loss_track__MIN","pious-sweep-1 - var_square_loss_track__MAX"
"0","0.009081315249204636","0.009081315249204636","0.009081315249204636","0.009231914766132832","0.009231914766132832","0.009231914766132832","0.010446048341691494","0.010446048341691494","0.010446048341691494","0.009782547131180763","0.009782547131180763","0.009782547131180763","0.008999677374958992","0.008999677374958992","0.008999677374958992","0.009367159567773342","0.009367159567773342","0.009367159567773342","0.010074201971292496","0.010074201971292496","0.010074201971292496","0.009586241096258163","0.009586241096258163","0.009586241096258163","0.009458163753151894","0.009458163753151894","0.009458163753151894","0.009814593009650707","0.009814593009650707","0.009814593009650707","0.009081315249204636","0.009081315249204636","0.009081315249204636","0.009231914766132832","0.009231914766132832","0.009231914766132832","0.010446048341691494","0.010446048341691494","0.010446048341691494","0.009782547131180763","0.009782547131180763","0.009782547131180763","0.008999677374958992","0.008999677374958992","0.008999677374958992","0.009367159567773342","0.009367159567773342","0.009367159567773342","0.010074201971292496","0.010074201971292496","0.010074201971292496","0.009586241096258163","0.009586241096258163","0.009586241096258163","0.009458163753151894","0.009458163753151894","0.009458163753151894","0.009814593009650707","0.009814593009650707","0.009814593009650707","0.009081315249204636","0.009081315249204636","0.009081315249204636","0.009231914766132832","0.009231914766132832","0.009231914766132832","0.010446048341691494","0.010446048341691494","0.010446048341691494","0.009782547131180763","0.009782547131180763","0.009782547131180763","0.008999677374958992","0.008999677374958992","0.008999677374958992","0.009367159567773342","0.009367159567773342","0.009367159567773342","0.010074201971292496","0.010074201971292496","0.010074201971292496","0.009586241096258163","0.009586241096258163","0.009586241096258163","0.009458163753151894","0.009458163753151894","0.009458163753151894","0.009814593009650707","0.009814593009650707","0.009814593009650707"
"1","0.009724282659590244","0.009724282659590244","0.009724282659590244","0.009860364720225334","0.009860364720225334","0.009860364720225334","0.010137060657143593","0.010137060657143593","0.010137060657143593","0.00999436341226101","0.00999436341226101","0.00999436341226101","0.009514858014881611","0.009514858014881611","0.009514858014881611","0.009507541544735432","0.009507541544735432","0.009507541544735432","0.010121355764567852","0.010121355764567852","0.010121355764567852","0.010028623975813389","0.010028623975813389","0.010028623975813389","0.010450063273310661","0.010450063273310661","0.010450063273310661","0.010657815262675285","0.010657815262675285","0.010657815262675285","0.009948966093361378","0.009948966093361378","0.009948966093361378","0.009220478124916553","0.009220478124916553","0.009220478124916553","0.00974228698760271","0.00974228698760271","0.00974228698760271","0.00941589754074812","0.00941589754074812","0.00941589754074812","0.010355607606470585","0.010355607606470585","0.010355607606470585","0.009819663129746914","0.009819663129746914","0.009819663129746914","0.00999442394822836","0.00999442394822836","0.00999442394822836","0.009917285293340683","0.009917285293340683","0.009917285293340683","0.009742731228470802","0.009742731228470802","0.009742731228470802","0.010137532837688923","0.010137532837688923","0.010137532837688923","0.009796623140573502","0.009796623140573502","0.009796623140573502","0.009064010344445705","0.009064010344445705","0.009064010344445705","0.009505758993327618","0.009505758993327618","0.009505758993327618","0.008681444451212883","0.008681444451212883","0.008681444451212883","0.00989463645964861","0.00989463645964861","0.00989463645964861","0.009445704519748688","0.009445704519748688","0.009445704519748688","0.009776806458830833","0.009776806458830833","0.009776806458830833","0.009400570765137672","0.009400570765137672","0.009400570765137672","0.009486780501902103","0.009486780501902103","0.009486780501902103","0.010114560835063457","0.010114560835063457","0.010114560835063457"
"2","0.009911890141665936","0.009911890141665936","0.009911890141665936","0.008896492421627045","0.008896492421627045","0.008896492421627045","0.009883684106171131","0.009883684106171131","0.009883684106171131","0.009824644774198532","0.009824644774198532","0.009824644774198532","0.009735729545354843","0.009735729545354843","0.009735729545354843","0.009820220060646534","0.009820220060646534","0.009820220060646534","0.010098741389811039","0.010098741389811039","0.010098741389811039","0.009263102896511555","0.009263102896511555","0.009263102896511555","0.01035575196146965","0.01035575196146965","0.01035575196146965","0.009468707256019115","0.009468707256019115","0.009468707256019115","0.009715779684484005","0.009715779684484005","0.009715779684484005","0.009764055721461773","0.009764055721461773","0.009764055721461773","0.009679513983428478","0.009679513983428478","0.009679513983428478","0.010490642860531807","0.010490642860531807","0.010490642860531807","0.009375866502523422","0.009375866502523422","0.009375866502523422","0.01011654268950224","0.01011654268950224","0.01011654268950224","0.009183000773191452","0.009183000773191452","0.009183000773191452","0.009520964697003365","0.009520964697003365","0.009520964697003365","0.010303257964551449","0.010303257964551449","0.010303257964551449","0.01075589656829834","0.01075589656829834","0.01075589656829834","0.00952928140759468","0.00952928140759468","0.00952928140759468","0.00934691447764635","0.00934691447764635","0.00934691447764635","0.009431799873709679","0.009431799873709679","0.009431799873709679","0.00926976278424263","0.00926976278424263","0.00926976278424263","0.00878506526350975","0.00878506526350975","0.00878506526350975","0.00958649255335331","0.00958649255335331","0.00958649255335331","0.008767226710915565","0.008767226710915565","0.008767226710915565","0.008854066953063011","0.008854066953063011","0.008854066953063011","0.009878347627818584","0.009878347627818584","0.009878347627818584","0.010370101779699326","0.010370101779699326","0.010370101779699326"
"3","0.009742211550474167","0.009742211550474167","0.009742211550474167","0.009776288643479347","0.009776288643479347","0.009776288643479347","0.009904447942972183","0.009904447942972183","0.009904447942972183","0.010615200735628605","0.010615200735628605","0.010615200735628605","0.010004110634326935","0.010004110634326935","0.010004110634326935","0.009506923146545887","0.009506923146545887","0.009506923146545887","0.0098356232047081","0.0098356232047081","0.0098356232047081","0.009736023843288422","0.009736023843288422","0.009736023843288422","0.0095360167324543","0.0095360167324543","0.0095360167324543","0.009697028435766697","0.009697028435766697","0.009697028435766697","0.009889528155326843","0.009889528155326843","0.009889528155326843","0.009723705239593983","0.009723705239593983","0.009723705239593983","0.009992921724915504","0.009992921724915504","0.009992921724915504","0.00981732364743948","0.00981732364743948","0.00981732364743948","0.010260737501084805","0.010260737501084805","0.010260737501084805","0.00951019860804081","0.00951019860804081","0.00951019860804081","0.009186876006424427","0.009186876006424427","0.009186876006424427","0.010141110047698021","0.010141110047698021","0.010141110047698021","0.01010772492736578","0.01010772492736578","0.01010772492736578","0.010203282348811626","0.010203282348811626","0.010203282348811626","0.009477394632995129","0.009477394632995129","0.009477394632995129","0.008945838548243046","0.008945838548243046","0.008945838548243046","0.009463039226830006","0.009463039226830006","0.009463039226830006","0.008734914474189281","0.008734914474189281","0.008734914474189281","0.009522651322185993","0.009522651322185993","0.009522651322185993","0.00846115406602621","0.00846115406602621","0.00846115406602621","0.008671490475535393","0.008671490475535393","0.008671490475535393","0.009480796754360199","0.009480796754360199","0.009480796754360199","0.009685403667390347","0.009685403667390347","0.009685403667390347","0.00996043998748064","0.00996043998748064","0.00996043998748064"
"4","0.009720382280647755","0.009720382280647755","0.009720382280647755","0.010544097051024437","0.010544097051024437","0.010544097051024437","0.00934799574315548","0.00934799574315548","0.00934799574315548","0.01038730051368475","0.01038730051368475","0.01038730051368475","0.009775573387742043","0.009775573387742043","0.009775573387742043","0.01007860153913498","0.01007860153913498","0.01007860153913498","0.010771374218165874","0.010771374218165874","0.010771374218165874","0.009236061945557594","0.009236061945557594","0.009236061945557594","0.009549451991915703","0.009549451991915703","0.009549451991915703","0.011130882427096367","0.011130882427096367","0.011130882427096367","0.010701465420424938","0.010701465420424938","0.010701465420424938","0.010913396254181862","0.010913396254181862","0.010913396254181862","0.009810293093323708","0.009810293093323708","0.009810293093323708","0.009949015453457832","0.009949015453457832","0.009949015453457832","0.00938254501670599","0.00938254501670599","0.00938254501670599","0.010408309288322926","0.010408309288322926","0.010408309288322926","0.010154228657484055","0.010154228657484055","0.010154228657484055","0.009731516242027283","0.009731516242027283","0.009731516242027283","0.009815758094191551","0.009815758094191551","0.009815758094191551","0.010600852780044079","0.010600852780044079","0.010600852780044079","0.009906339459121227","0.009906339459121227","0.009906339459121227","0.009275250136852264","0.009275250136852264","0.009275250136852264","0.009421314112842083","0.009421314112842083","0.009421314112842083","0.008538475260138512","0.008538475260138512","0.008538475260138512","0.008339290507137775","0.008339290507137775","0.008339290507137775","0.009251777082681656","0.009251777082681656","0.009251777082681656","0.009398916736245155","0.009398916736245155","0.009398916736245155","0.009041447192430496","0.009041447192430496","0.009041447192430496","0.008627098053693771","0.008627098053693771","0.008627098053693771","0.010167344473302364","0.010167344473302364","0.010167344473302364"
"5","0.010066170245409012","0.010066170245409012","0.010066170245409012","0.010399977676570415","0.010399977676570415","0.010399977676570415","0.010188952088356018","0.010188952088356018","0.010188952088356018","0.010135941207408905","0.010135941207408905","0.010135941207408905","0.009247712790966034","0.009247712790966034","0.009247712790966034","0.009697267785668373","0.009697267785668373","0.009697267785668373","0.009971903637051582","0.009971903637051582","0.009971903637051582","0.010343717411160469","0.010343717411160469","0.010343717411160469","0.009206175804138184","0.009206175804138184","0.009206175804138184","0.00963610503822565","0.00963610503822565","0.00963610503822565","0.00978686660528183","0.00978686660528183","0.00978686660528183","0.01082970853894949","0.01082970853894949","0.01082970853894949","0.009751209989190102","0.009751209989190102","0.009751209989190102","0.009711560793220997","0.009711560793220997","0.009711560793220997","0.0106552978977561","0.0106552978977561","0.0106552978977561","0.00961619894951582","0.00961619894951582","0.00961619894951582","0.010148199275135994","0.010148199275135994","0.010148199275135994","0.009022947400808334","0.009022947400808334","0.009022947400808334","0.009411140345036983","0.009411140345036983","0.009411140345036983","0.00969094131141901","0.00969094131141901","0.00969094131141901","0.008923104032874107","0.008923104032874107","0.008923104032874107","0.008831028826534748","0.008831028826534748","0.008831028826534748","0.009003120474517345","0.009003120474517345","0.009003120474517345","0.008167890831828117","0.008167890831828117","0.008167890831828117","0.009401112794876099","0.009401112794876099","0.009401112794876099","0.008040065877139568","0.008040065877139568","0.008040065877139568","0.009051879867911339","0.009051879867911339","0.009051879867911339","0.008148043416440487","0.008148043416440487","0.008148043416440487","0.008349694311618805","0.008349694311618805","0.008349694311618805","0.008954213000833988","0.008954213000833988","0.008954213000833988"
"6","0.01029515266418457","0.01029515266418457","0.01029515266418457","0.009476479142904282","0.009476479142904282","0.009476479142904282","0.01015495229512453","0.01015495229512453","0.01015495229512453","0.00973702222108841","0.00973702222108841","0.00973702222108841","0.010704106651246548","0.010704106651246548","0.010704106651246548","0.010944437235593796","0.010944437235593796","0.010944437235593796","0.009714902378618717","0.009714902378618717","0.009714902378618717","0.00902633648365736","0.00902633648365736","0.00902633648365736","0.008732442744076252","0.008732442744076252","0.008732442744076252","0.009662889875471592","0.009662889875471592","0.009662889875471592","0.009756236337125301","0.009756236337125301","0.009756236337125301","0.009621303528547287","0.009621303528547287","0.009621303528547287","0.009622165001928806","0.009622165001928806","0.009622165001928806","0.009853809140622616","0.009853809140622616","0.009853809140622616","0.009329233318567276","0.009329233318567276","0.009329233318567276","0.010230702348053455","0.010230702348053455","0.010230702348053455","0.00927527341991663","0.00927527341991663","0.00927527341991663","0.010451427660882473","0.010451427660882473","0.010451427660882473","0.00957241840660572","0.00957241840660572","0.00957241840660572","0.009008186869323254","0.009008186869323254","0.009008186869323254","0.008384686894714832","0.008384686894714832","0.008384686894714832","0.007462193723767996","0.007462193723767996","0.007462193723767996","0.008600955829024315","0.008600955829024315","0.008600955829024315","0.007925865240395069","0.007925865240395069","0.007925865240395069","0.007968545891344547","0.007968545891344547","0.007968545891344547","0.008210369385778904","0.008210369385778904","0.008210369385778904","0.008231156505644321","0.008231156505644321","0.008231156505644321","0.009064898826181889","0.009064898826181889","0.009064898826181889","0.008518205024302006","0.008518205024302006","0.008518205024302006","0.008227139711380005","0.008227139711380005","0.008227139711380005"
"7","0.010883972980082035","0.010883972980082035","0.010883972980082035","0.010544218122959137","0.010544218122959137","0.010544218122959137","0.00972785521298647","0.00972785521298647","0.00972785521298647","0.00978176947683096","0.00978176947683096","0.00978176947683096","0.010340957902371883","0.010340957902371883","0.010340957902371883","0.009557523764669895","0.009557523764669895","0.009557523764669895","0.009176982566714287","0.009176982566714287","0.009176982566714287","0.00999580230563879","0.00999580230563879","0.00999580230563879","0.01019439660012722","0.01019439660012722","0.01019439660012722","0.00929719116538763","0.00929719116538763","0.00929719116538763","0.009774914011359215","0.009774914011359215","0.009774914011359215","0.009917587973177433","0.009917587973177433","0.009917587973177433","0.009267525747418404","0.009267525747418404","0.009267525747418404","0.009341062977910042","0.009341062977910042","0.009341062977910042","0.010498660616576672","0.010498660616576672","0.010498660616576672","0.009267539717257023","0.009267539717257023","0.009267539717257023","0.010056284256279469","0.010056284256279469","0.010056284256279469","0.009367745369672775","0.009367745369672775","0.009367745369672775","0.009751535952091217","0.009751535952091217","0.009751535952091217","0.010234625078737736","0.010234625078737736","0.010234625078737736","0.00879978109151125","0.00879978109151125","0.00879978109151125","0.007560747675597668","0.007560747675597668","0.007560747675597668","0.00842986162751913","0.00842986162751913","0.00842986162751913","0.007612715940922499","0.007612715940922499","0.007612715940922499","0.009042780846357346","0.009042780846357346","0.009042780846357346","0.007710609119385481","0.007710609119385481","0.007710609119385481","0.008999042212963104","0.008999042212963104","0.008999042212963104","0.008129303343594074","0.008129303343594074","0.008129303343594074","0.008027608506381512","0.008027608506381512","0.008027608506381512","0.008521869778633118","0.008521869778633118","0.008521869778633118"
"8","0.009867540560662746","0.009867540560662746","0.009867540560662746","0.009495826438069344","0.009495826438069344","0.009495826438069344","0.009820276871323586","0.009820276871323586","0.009820276871323586","0.010134207084774971","0.010134207084774971","0.010134207084774971","0.010290028527379036","0.010290028527379036","0.010290028527379036","0.009213851764798164","0.009213851764798164","0.009213851764798164","0.010277616791427135","0.010277616791427135","0.010277616791427135","0.009988726116716862","0.009988726116716862","0.009988726116716862","0.009702930226922035","0.009702930226922035","0.009702930226922035","0.009594308212399483","0.009594308212399483","0.009594308212399483","0.010292618535459042","0.010292618535459042","0.010292618535459042","0.008998742327094078","0.008998742327094078","0.008998742327094078","0.008930179290473461","0.008930179290473461","0.008930179290473461","0.010081016458570957","0.010081016458570957","0.010081016458570957","0.010545096360147","0.010545096360147","0.010545096360147","0.009845046326518059","0.009845046326518059","0.009845046326518059","0.010031263343989849","0.010031263343989849","0.010031263343989849","0.010221735574305058","0.010221735574305058","0.010221735574305058","0.009330583736300468","0.009330583736300468","0.009330583736300468","0.009371415711939335","0.009371415711939335","0.009371415711939335","0.008895528502762318","0.008895528502762318","0.008895528502762318","0.007051683962345123","0.007051683962345123","0.007051683962345123","0.00862505566328764","0.00862505566328764","0.00862505566328764","0.007572861388325691","0.007572861388325691","0.007572861388325691","0.008708671666681767","0.008708671666681767","0.008708671666681767","0.008027542382478714","0.008027542382478714","0.008027542382478714","0.0089807640761137","0.0089807640761137","0.0089807640761137","0.008866805583238602","0.008866805583238602","0.008866805583238602","0.007768216542899609","0.007768216542899609","0.007768216542899609","0.008016787469387054","0.008016787469387054","0.008016787469387054"
"9","0.009443889372050762","0.009443889372050762","0.009443889372050762","0.010228984989225864","0.010228984989225864","0.010228984989225864","0.0095969894900918","0.0095969894900918","0.0095969894900918","0.010069455951452255","0.010069455951452255","0.010069455951452255","0.009705976583063602","0.009705976583063602","0.009705976583063602","0.008687188848853111","0.008687188848853111","0.008687188848853111","0.0095417695119977","0.0095417695119977","0.0095417695119977","0.01027972623705864","0.01027972623705864","0.01027972623705864","0.009650821797549725","0.009650821797549725","0.009650821797549725","0.009453974664211273","0.009453974664211273","0.009453974664211273","0.009543491527438164","0.009543491527438164","0.009543491527438164","0.009627998806536198","0.009627998806536198","0.009627998806536198","0.009517493657767773","0.009517493657767773","0.009517493657767773","0.010189587250351906","0.010189587250351906","0.010189587250351906","0.008941187523305416","0.008941187523305416","0.008941187523305416","0.009897887706756592","0.009897887706756592","0.009897887706756592","0.009086787700653076","0.009086787700653076","0.009086787700653076","0.009161961264908314","0.009161961264908314","0.009161961264908314","0.009268446825444698","0.009268446825444698","0.009268446825444698","0.009727849625051022","0.009727849625051022","0.009727849625051022","0.008090974763035774","0.008090974763035774","0.008090974763035774","0.007310730405151844","0.007310730405151844","0.007310730405151844","0.008504470810294151","0.008504470810294151","0.008504470810294151","0.008141824044287205","0.008141824044287205","0.008141824044287205","0.007635363843291998","0.007635363843291998","0.007635363843291998","0.008251952938735485","0.008251952938735485","0.008251952938735485","0.007996400818228722","0.007996400818228722","0.007996400818228722","0.007739204913377762","0.007739204913377762","0.007739204913377762","0.007539396174252033","0.007539396174252033","0.007539396174252033","0.008334951475262642","0.008334951475262642","0.008334951475262642"
