"Step","atomic-sweep-1 - l2_loss_track","atomic-sweep-1 - l2_loss_track__MIN","atomic-sweep-1 - l2_loss_track__MAX"
"0","0.9295525550842285","0.9295525550842285","0.9295525550842285"
"2","0.9215142130851746","0.9215142130851746","0.9215142130851746"
"4","0.9015655517578125","0.9015655517578125","0.9015655517578125"
"6","0.8829588890075684","0.8829588890075684","0.8829588890075684"
"8","0.8772047162055969","0.8772047162055969","0.8772047162055969"
"10","0.871890664100647","0.871890664100647","0.871890664100647"
"12","0.8608590960502625","0.8608590960502625","0.8608590960502625"
"14","0.8601478338241577","0.8601478338241577","0.8601478338241577"
"16","0.8552908897399902","0.8552908897399902","0.8552908897399902"
"18","0.8509814739227295","0.8509814739227295","0.8509814739227295"
"20","0.8429659605026245","0.8429659605026245","0.8429659605026245"
