"Step","dainty-sweep-1 - var_square_loss_track","dainty-sweep-1 - var_square_loss_track__MIN","dainty-sweep-1 - var_square_loss_track__MAX","restful-sweep-9 - var_square_loss_track","restful-sweep-9 - var_square_loss_track__MIN","restful-sweep-9 - var_square_loss_track__MAX","easy-sweep-8 - var_square_loss_track","easy-sweep-8 - var_square_loss_track__MIN","easy-sweep-8 - var_square_loss_track__MAX","worldly-sweep-7 - var_square_loss_track","worldly-sweep-7 - var_square_loss_track__MIN","worldly-sweep-7 - var_square_loss_track__MAX","neat-sweep-6 - var_square_loss_track","neat-sweep-6 - var_square_loss_track__MIN","neat-sweep-6 - var_square_loss_track__MAX","misunderstood-sweep-5 - var_square_loss_track","misunderstood-sweep-5 - var_square_loss_track__MIN","misunderstood-sweep-5 - var_square_loss_track__MAX","devout-sweep-4 - var_square_loss_track","devout-sweep-4 - var_square_loss_track__MIN","devout-sweep-4 - var_square_loss_track__MAX","whole-sweep-3 - var_square_loss_track","whole-sweep-3 - var_square_loss_track__MIN","whole-sweep-3 - var_square_loss_track__MAX","happy-sweep-2 - var_square_loss_track","happy-sweep-2 - var_square_loss_track__MIN","happy-sweep-2 - var_square_loss_track__MAX","hardy-sweep-1 - var_square_loss_track","hardy-sweep-1 - var_square_loss_track__MIN","hardy-sweep-1 - var_square_loss_track__MAX"
"0","0.009081315249204636","0.009081315249204636","0.009081315249204636","0.009253698401153088","0.009253698401153088","0.009253698401153088","0.010476451367139816","0.010476451367139816","0.010476451367139816","0.009804537519812584","0.009804537519812584","0.009804537519812584","0.009024368599057198","0.009024368599057198","0.009024368599057198","0.009386309422552586","0.009386309422552586","0.009386309422552586","0.010101206600666046","0.010101206600666046","0.010101206600666046","0.009606435894966125","0.009606435894966125","0.009606435894966125","0.009485187008976936","0.009485187008976936","0.009485187008976936","0.009840867482125759","0.009840867482125759","0.009840867482125759"
"1003","0.008474756963551044","0.008474756963551044","0.008474756963551044","0.00828990712761879","0.00828990712761879","0.00828990712761879","0.009166132658720016","0.009166132658720016","0.009166132658720016","0.008152920752763748","0.008152920752763748","0.008152920752763748","0.009561498649418354","0.009561498649418354","0.009561498649418354","0.008541637100279331","0.008541637100279331","0.008541637100279331","0.008690673857927322","0.008690673857927322","0.008690673857927322","0.008896979503333569","0.008896979503333569","0.008896979503333569","0.007761156652122736","0.007761156652122736","0.007761156652122736","0.008872389793395996","0.008872389793395996","0.008872389793395996"
"2006","0.007943232543766499","0.007943232543766499","0.007943232543766499","0.007802146021276712","0.007802146021276712","0.007802146021276712","0.007405679672956467","0.007405679672956467","0.007405679672956467","0.007688701618462801","0.007688701618462801","0.007688701618462801","0.010415558703243732","0.010415558703243732","0.010415558703243732","0.008429682813584805","0.008429682813584805","0.008429682813584805","0.007751637604087591","0.007751637604087591","0.007751637604087591","0.007316870614886284","0.007316870614886284","0.007316870614886284","0.008166543208062649","0.008166543208062649","0.008166543208062649","0.008113574236631393","0.008113574236631393","0.008113574236631393"
"3009","0.007428663782775402","0.007428663782775402","0.007428663782775402","0.006885796785354614","0.006885796785354614","0.006885796785354614","0.006951057352125645","0.006951057352125645","0.006951057352125645","0.0070547061040997505","0.0070547061040997505","0.0070547061040997505","0.007678867317736149","0.007678867317736149","0.007678867317736149","0.008508644066751003","0.008508644066751003","0.008508644066751003","0.007611301261931658","0.007611301261931658","0.007611301261931658","0.007389608770608902","0.007389608770608902","0.007389608770608902","0.00787044782191515","0.00787044782191515","0.00787044782191515","0.008022180758416653","0.008022180758416653","0.008022180758416653"
"4012","0.007242209278047085","0.007242209278047085","0.007242209278047085","0.0074047609232366085","0.0074047609232366085","0.0074047609232366085","0.0072893304750323296","0.0072893304750323296","0.0072893304750323296","0.007004234008491039","0.007004234008491039","0.007004234008491039","0.00755510525777936","0.00755510525777936","0.00755510525777936","0.006942284759134054","0.006942284759134054","0.006942284759134054","0.00745595246553421","0.00745595246553421","0.00745595246553421","0.006499718874692917","0.006499718874692917","0.006499718874692917","0.00779713224619627","0.00779713224619627","0.00779713224619627","0.007608751300722361","0.007608751300722361","0.007608751300722361"
"5015","0.006661234889179468","0.006661234889179468","0.006661234889179468","0.006615676451474428","0.006615676451474428","0.006615676451474428","0.006848024670034647","0.006848024670034647","0.006848024670034647","0.007416590582579374","0.007416590582579374","0.007416590582579374","0.006010727491229773","0.006010727491229773","0.006010727491229773","0.006692312657833099","0.006692312657833099","0.006692312657833099","0.007008003536611795","0.007008003536611795","0.007008003536611795","0.006636034697294235","0.006636034697294235","0.006636034697294235","0.00663739675655961","0.00663739675655961","0.00663739675655961","0.007341825403273106","0.007341825403273106","0.007341825403273106"
"6018","0.006348317489027977","0.006348317489027977","0.006348317489027977","0.007230102084577084","0.007230102084577084","0.007230102084577084","0.006396057549864054","0.006396057549864054","0.006396057549864054","0.00640996266156435","0.00640996266156435","0.00640996266156435","0.006141269113868475","0.006141269113868475","0.006141269113868475","0.006567282136529684","0.006567282136529684","0.006567282136529684","0.006770054344087839","0.006770054344087839","0.006770054344087839","0.0062752035446465015","0.0062752035446465015","0.0062752035446465015","0.0067556253634393215","0.0067556253634393215","0.0067556253634393215","0.006281837355345488","0.006281837355345488","0.006281837355345488"
"7021","0.006591100711375475","0.006591100711375475","0.006591100711375475","0.006261033937335014","0.006261033937335014","0.006261033937335014","0.006975701078772545","0.006975701078772545","0.006975701078772545","0.006632685195654631","0.006632685195654631","0.006632685195654631","0.006309174001216888","0.006309174001216888","0.006309174001216888","0.006885188166052103","0.006885188166052103","0.006885188166052103","0.006521185860037804","0.006521185860037804","0.006521185860037804","0.006224151235073805","0.006224151235073805","0.006224151235073805","0.006848532240837812","0.006848532240837812","0.006848532240837812","0.006472971756011248","0.006472971756011248","0.006472971756011248"
"8024","0.006541311275213957","0.006541311275213957","0.006541311275213957","0.006363662425428629","0.006363662425428629","0.006363662425428629","0.0063657634891569614","0.0063657634891569614","0.0063657634891569614","0.006044331472367048","0.006044331472367048","0.006044331472367048","0.006394823081791401","0.006394823081791401","0.006394823081791401","0.0061171953566372395","0.0061171953566372395","0.0061171953566372395","0.006159395910799503","0.006159395910799503","0.006159395910799503","0.006030235439538956","0.006030235439538956","0.006030235439538956","0.007355434820055962","0.007355434820055962","0.007355434820055962","0.0055023678578436375","0.0055023678578436375","0.0055023678578436375"
"9027","0.005699676927179098","0.005699676927179098","0.005699676927179098","0.006410182453691959","0.006410182453691959","0.006410182453691959","0.006538795307278633","0.006538795307278633","0.006538795307278633","0.0062287962064146996","0.0062287962064146996","0.0062287962064146996","0.006885944399982691","0.006885944399982691","0.006885944399982691","0.005846803076565266","0.005846803076565266","0.005846803076565266","0.005943159107118845","0.005943159107118845","0.005943159107118845","0.006142572499811649","0.006142572499811649","0.006142572499811649","0.007054155692458153","0.007054155692458153","0.007054155692458153","0.005901172757148743","0.005901172757148743","0.005901172757148743"
